timestamp,memory.used,memory.total,utilization.gpu
2026/09/13 00:02:02.448, 499, 8188, 5
2026/09/13 00:02:02.619, 499, 8188, 5
2026/09/13 00:02:02.773, 499, 8188, 5
2026/09/13 00:02:02.930, 499, 8188, 4
2026/09/13 00:02:03.085, 499, 8188, 4
2026/09/13 00:02:03.242, 499, 8188, 4
2026/09/13 00:02:03.413, 499, 8188, 4
2026/09/13 00:02:03.583, 499, 8188, 4
2026/09/13 00:02:03.739, 499, 8188, 4
2026/09/13 00:02:03.893, 499, 8188, 4
2026/09/13 00:02:04.049, 499, 8188, 5
2026/09/13 00:02:04.207, 582, 8188, 5
2026/09/13 00:02:04.363, 582, 8188, 5
2026/09/13 00:02:04.536, 582, 8188, 5
2026/09/13 00:02:04.722, 582, 8188, 5
2026/09/13 00:02:04.909, 582, 8188, 5
2026/09/13 00:02:05.097, 582, 8188, 5
2026/09/13 00:02:07.084, 7110, 8188, 0
2026/09/13 00:02:07.269, 7778, 8188, 0
2026/09/13 00:02:07.456, 7778, 8188, 7
2026/09/13 00:02:07.643, 7778, 8188, 7
2026/09/13 00:02:07.829, 7778, 8188, 7
2026/09/13 00:02:08.000, 7778, 8188, 7
2026/09/13 00:02:08.187, 7778, 8188, 7
2026/09/13 00:02:08.381, 7778, 8188, 7
2026/09/13 00:02:08.544, 7778, 8188, 7
2026/09/13 00:02:08.715, 7778, 8188, 7
2026/09/13 00:02:08.885, 7778, 8188, 7
2026/09/13 00:02:09.056, 7778, 8188, 8
2026/09/13 00:02:09.228, 7778, 8188, 8
2026/09/13 00:02:09.415, 7778, 8188, 8
2026/09/13 00:02:09.584, 7778, 8188, 8
2026/09/13 00:02:09.741, 7778, 8188, 8
2026/09/13 00:02:09.897, 7778, 8188, 8
2026/09/13 00:02:10.054, 7778, 8188, 7
2026/09/13 00:02:10.212, 7778, 8188, 7
2026/09/13 00:02:10.366, 7778, 8188, 7
2026/09/13 00:02:10.522, 7778, 8188, 8
2026/09/13 00:02:10.679, 7778, 8188, 8
2026/09/13 00:02:10.850, 7778, 8188, 8
2026/09/13 00:02:11.006, 7778, 8188, 7
2026/09/13 00:02:11.162, 7778, 8188, 7
2026/09/13 00:02:11.317, 7778, 8188, 7
2026/09/13 00:02:11.472, 7778, 8188, 8
2026/09/13 00:02:11.628, 7778, 8188, 8
2026/09/13 00:02:11.783, 7778, 8188, 8
2026/09/13 00:02:11.939, 7778, 8188, 7
2026/09/13 00:02:12.107, 7778, 8188, 7
2026/09/13 00:02:12.277, 7778, 8188, 7
2026/09/13 00:02:12.445, 7778, 8188, 8
2026/09/13 00:02:12.601, 7778, 8188, 8
2026/09/13 00:02:12.772, 7778, 8188, 8
2026/09/13 00:02:12.928, 7778, 8188, 7
2026/09/13 00:02:13.098, 7778, 8188, 7
2026/09/13 00:02:13.269, 7778, 8188, 7
2026/09/13 00:02:13.425, 7778, 8188, 7
2026/09/13 00:02:13.581, 7778, 8188, 7
2026/09/13 00:02:13.736, 7778, 8188, 7
2026/09/13 00:02:13.893, 7778, 8188, 7
2026/09/13 00:02:14.047, 7778, 8188, 7
2026/09/13 00:02:14.204, 7778, 8188, 7
2026/09/13 00:02:14.359, 7778, 8188, 7
2026/09/13 00:02:14.516, 7778, 8188, 7
2026/09/13 00:02:14.687, 7778, 8188, 7
2026/09/13 00:02:14.844, 7778, 8188, 7
2026/09/13 00:02:15.016, 7778, 8188, 7
2026/09/13 00:02:15.188, 7778, 8188, 7
2026/09/13 00:02:15.344, 7778, 8188, 7
2026/09/13 00:02:15.514, 7778, 8188, 8
2026/09/13 00:02:15.670, 7778, 8188, 8
2026/09/13 00:02:15.825, 7778, 8188, 8
2026/09/13 00:02:15.997, 7778, 8188, 8
2026/09/13 00:02:16.170, 7778, 8188, 8
2026/09/13 00:02:16.325, 7778, 8188, 8
2026/09/13 00:02:16.495, 7778, 8188, 7
2026/09/13 00:02:16.668, 7778, 8188, 7
2026/09/13 00:02:16.839, 7778, 8188, 7
2026/09/13 00:02:17.013, 7778, 8188, 7
2026/09/13 00:02:17.201, 7778, 8188, 7
2026/09/13 00:02:17.356, 7778, 8188, 7
2026/09/13 00:02:17.528, 7778, 8188, 7
2026/09/13 00:02:17.684, 7778, 8188, 7
2026/09/13 00:02:17.887, 7778, 8188, 7
2026/09/13 00:02:18.057, 7778, 8188, 7
2026/09/13 00:02:18.214, 7778, 8188, 7
2026/09/13 00:02:18.387, 7778, 8188, 7
2026/09/13 00:02:18.559, 7778, 8188, 7
2026/09/13 00:02:18.731, 7778, 8188, 7
2026/09/13 00:02:18.903, 7778, 8188, 7
2026/09/13 00:02:19.059, 7778, 8188, 8
2026/09/13 00:02:19.230, 7778, 8188, 8
2026/09/13 00:02:19.403, 7778, 8188, 8
2026/09/13 00:02:19.573, 7778, 8188, 7
2026/09/13 00:02:19.745, 7778, 8188, 7
2026/09/13 00:02:19.914, 7778, 8188, 8
2026/09/13 00:02:20.070, 7778, 8188, 8
2026/09/13 00:02:20.241, 7778, 8188, 8
2026/09/13 00:02:20.412, 7778, 8188, 7
2026/09/13 00:02:20.569, 7778, 8188, 7
2026/09/13 00:02:20.739, 7778, 8188, 7
2026/09/13 00:02:20.895, 7778, 8188, 7
2026/09/13 00:02:21.051, 7778, 8188, 8
2026/09/13 00:02:21.209, 7778, 8188, 8
2026/09/13 00:02:21.365, 7778, 8188, 8
2026/09/13 00:02:21.521, 7778, 8188, 8
2026/09/13 00:02:21.691, 7778, 8188, 8
2026/09/13 00:02:21.861, 7778, 8188, 8
2026/09/13 00:02:22.019, 7778, 8188, 8
2026/09/13 00:02:22.174, 7778, 8188, 8
2026/09/13 00:02:22.331, 7778, 8188, 8
2026/09/13 00:02:22.485, 7778, 8188, 8
2026/09/13 00:02:22.642, 7778, 8188, 8
2026/09/13 00:02:22.798, 7778, 8188, 8
2026/09/13 00:02:22.970, 7778, 8188, 8
2026/09/13 00:02:23.126, 7778, 8188, 8
2026/09/13 00:02:23.282, 7778, 8188, 8
