timestamp,memory.used,memory.total,utilization.gpu
2026/09/12 23:49:51.695, 6668, 8188, 4
2026/09/12 23:49:51.866, 6668, 8188, 4
2026/09/12 23:49:52.038, 6674, 8188, 4
2026/09/12 23:49:52.195, 6674, 8188, 4
2026/09/12 23:49:52.370, 6676, 8188, 99
2026/09/12 23:49:52.554, 6676, 8188, 99
2026/09/12 23:49:52.710, 6676, 8188, 99
2026/09/12 23:49:52.882, 6676, 8188, 100
2026/09/12 23:49:53.052, 6676, 8188, 100
2026/09/12 23:49:53.209, 6676, 8188, 100
2026/09/12 23:49:53.365, 6676, 8188, 99
2026/09/12 23:49:53.535, 6676, 8188, 99
2026/09/12 23:49:53.690, 6676, 8188, 99
2026/09/12 23:49:53.859, 6676, 8188, 100
2026/09/12 23:49:54.016, 6676, 8188, 100
2026/09/12 23:49:54.699, 6676, 8188, 85
2026/09/12 23:49:54.872, 6676, 8188, 91
2026/09/12 23:49:55.027, 6676, 8188, 91
2026/09/12 23:49:55.197, 6676, 8188, 91
2026/09/12 23:49:55.382, 6676, 8188, 90
2026/09/12 23:49:55.539, 6676, 8188, 90
2026/09/12 23:49:55.695, 6676, 8188, 90
2026/09/12 23:49:55.897, 6676, 8188, 40
2026/09/12 23:49:56.068, 6676, 8188, 40
2026/09/12 23:49:56.224, 6676, 8188, 40
