timestamp,memory.used,memory.total,utilization.gpu
2026/09/12 23:50:30.135, 6384, 8188, 4
2026/09/12 23:50:30.312, 6384, 8188, 4
2026/09/12 23:50:30.479, 6390, 8188, 4
2026/09/12 23:50:30.634, 6390, 8188, 4
2026/09/12 23:50:30.790, 6390, 8188, 4
2026/09/12 23:50:30.961, 6390, 8188, 100
2026/09/12 23:50:31.117, 6390, 8188, 100
2026/09/12 23:50:31.274, 6390, 8188, 100
2026/09/12 23:50:31.431, 6390, 8188, 100
2026/09/12 23:50:31.587, 6390, 8188, 100
2026/09/12 23:50:31.743, 6390, 8188, 100
2026/09/12 23:50:31.901, 6390, 8188, 100
2026/09/12 23:50:32.057, 6390, 8188, 100
2026/09/12 23:50:32.228, 6390, 8188, 100
2026/09/12 23:50:32.400, 6390, 8188, 93
2026/09/12 23:50:32.556, 6392, 8188, 93
2026/09/12 23:50:32.727, 6392, 8188, 93
2026/09/12 23:50:32.884, 6392, 8188, 28
2026/09/12 23:50:33.057, 6392, 8188, 28
2026/09/12 23:50:33.212, 6392, 8188, 28
