run_tag,request_id,http_status,request_start_epoch,first_token_epoch,last_token_epoch,prompt_tokens,completion_tokens,ttft_ms,tpot_ms,total_ms,stream_chunks,error
np1_c8192_ctx6k,0,200,1789228127.364782,1789228130.914152,1789228132.780506,6071,64,3549.37,29.625,5420.12,64,
np1_c4096_c10,0,200,1789228153.681744,1789228158.976053,1789228160.395838,471,64,5294.31,22.536,6714.09,64,
np1_c4096_c10,1,200,1789228153.681744,1789228153.989993,1789228155.406136,471,64,308.25,22.478,1726.92,64,
np1_c4096_c10,2,200,1789228153.681744,1789228162.315602,1789228163.730092,471,64,8633.86,22.452,10048.35,64,
np1_c4096_c10,3,200,1789228153.681744,1789228165.646564,1789228167.066286,471,64,11964.82,22.535,13384.54,64,
np1_c4096_c10,4,200,1789228153.681744,1789228155.653338,1789228157.068761,471,64,1971.59,22.467,3387.02,64,
np1_c4096_c10,5,200,1789228153.681744,1789228163.979076,1789228165.390868,471,64,10297.33,22.409,11710.13,64,
np1_c4096_c10,6,200,1789228153.681744,1789228157.314082,1789228158.728503,471,64,3632.34,22.451,5046.76,64,
np1_c4096_c10,7,200,1789228153.681744,1789228168.987696,1789228170.410452,471,64,15305.95,22.583,16728.71,64,
np1_c4096_c10,8,200,1789228153.681744,1789228160.644026,1789228162.066403,471,64,6962.28,22.577,8384.66,64,
np1_c4096_c10,9,200,1789228153.683105,1789228167.315573,1789228168.737486,471,64,13632.47,22.570,15054.88,64,
np10_c4096_c10,0,200,1789228191.929152,1789228193.906610,1789228195.699226,471,41,1977.46,44.815,3770.07,41,
np10_c4096_c10,1,200,1789228191.929152,1789228192.916008,1789228195.658175,471,41,986.86,68.554,3731.03,41,
np10_c4096_c10,2,200,1789228191.929152,1789228192.916008,1789228195.659181,471,41,986.86,68.579,3732.54,41,
np10_c4096_c10,3,200,1789228191.929152,1789228193.906610,1789228195.700237,471,41,1977.46,44.841,3771.09,41,
np10_c4096_c10,4,200,1789228191.929152,1789228193.905596,1789228195.699226,471,41,1976.44,44.841,3770.07,41,
np10_c4096_c10,5,200,1789228191.929152,1789228194.236004,1789228195.726836,471,41,2306.85,37.271,3797.68,41,
np10_c4096_c10,6,200,1789228191.930264,1789228193.906610,1789228195.699226,471,41,1976.35,44.815,3768.96,41,
np10_c4096_c10,7,200,1789228191.930264,1789228192.916008,1789228195.659181,471,41,985.74,68.579,3731.43,41,
np10_c4096_c10,8,200,1789228191.930264,1789228192.916008,1789228195.658175,471,41,985.74,68.554,3731.43,41,
np10_c4096_c10,9,200,1789228191.930264,1789228194.236004,1789228195.726836,471,41,2305.74,37.271,3797.58,41,
np10_c5120_kvu_c10,0,200,1789228215.747773,1789228218.381700,1789228220.795426,,41,2633.93,60.343,5049.67,41,
np10_c5120_kvu_c10,1,200,1789228215.747773,1789228216.775778,1789228220.795426,,43,1028.01,95.706,5050.70,43,
np10_c5120_kvu_c10,2,200,1789228215.747773,1789228218.383862,1789228220.713915,,40,2636.09,59.745,5050.70,40,
np10_c5120_kvu_c10,3,200,1789228215.747773,1789228217.944395,1789228220.794418,,42,2196.62,69.513,5049.67,42,
np10_c5120_kvu_c10,4,200,1789228215.747773,1789228216.776825,1789228220.795426,,43,1029.05,95.681,5050.70,43,
np10_c5120_kvu_c10,5,200,1789228215.747773,1789228217.944395,1789228220.794418,,42,2196.62,69.513,5049.67,42,
np10_c5120_kvu_c10,6,200,1789228215.747773,1789228216.775778,1789228220.795426,,43,1028.01,95.706,5050.70,43,
np10_c5120_kvu_c10,7,200,1789228215.747773,1789228217.945400,1789228220.794418,,42,2197.63,69.488,5049.67,42,
np10_c5120_kvu_c10,8,200,1789228215.747773,1789228217.945400,1789228220.795426,,42,2197.63,69.513,5049.67,42,
np10_c5120_kvu_c10,9,200,1789228215.747773,1789228216.776825,1789228220.713915,,42,1029.05,96.027,5050.70,42,
np10_c4096_kvu_overflow,0,200,1789228230.399876,,,,0,,,2283.94,0,NO_CONTENT_TOKENS
np10_c4096_kvu_overflow,1,200,1789228230.399876,1789228231.641448,1789228232.228465,,2,1241.57,587.018,2282.93,2,
np10_c4096_kvu_overflow,2,200,1789228230.399876,1789228230.648737,1789228232.230567,,3,248.86,790.915,2282.93,3,
np10_c4096_kvu_overflow,3,200,1789228230.399876,,,,0,,,2282.93,0,NO_CONTENT_TOKENS
np10_c4096_kvu_overflow,4,200,1789228230.399876,1789228232.230567,1789228232.230567,,1,1830.69,,2282.93,1,
np10_c4096_kvu_overflow,5,200,1789228230.399876,1789228231.640445,1789228232.228465,,2,1240.57,588.020,2282.93,2,
np10_c4096_kvu_overflow,6,200,1789228230.399876,1789228232.229553,1789228232.229553,,1,1829.68,,2282.93,1,
np10_c4096_kvu_overflow,7,200,1789228230.399876,1789228232.544732,1789228232.544732,,1,2144.86,,2282.93,1,
np10_c4096_kvu_overflow,8,200,1789228230.399876,1789228231.641448,1789228232.229553,,2,1241.57,588.106,2282.93,2,
np10_c4096_kvu_overflow,9,200,1789228230.399876,1789228231.641448,1789228232.228465,,2,1241.57,587.018,2282.93,2,
